Security Code,Security Name,Security Group,Open,High,Low,LTP,No. of Shares Traded ,Total Turnover in Lac,No. of Trades ,
542677,MAHESH,XT,15.20,15.20,15.20,15.20,250,0.04,3,
526247,PREMEXPLQ,B,70.05,70.05,69.70,69.75,58,0.04,6,
526519,ALPINEHOU,X,8.19,8.19,8.00,8.04,452,0.04,5,
524582,TIRUSTA,XT,20.75,22.15,20.70,20.75,209,0.04,10,
523269,ADVANIHOTR,B,41.50,43.00,41.00,41.00,108,0.04,17,
511523,VEERHEALTH,X,5.95,5.95,5.95,5.95,600,0.04,4,
512149,AVANCE,X,0.19,0.19,0.19,0.19,20800,0.04,3,
512463,SHRGLTR,X,1.24,1.24,1.24,1.24,3050,0.04,4,
512608,BHANDHOS,B,0.87,0.90,0.85,0.88,4944,0.04,30,
512589,SITAENT,X,8.38,8.79,7.97,7.97,441,0.04,7,
513687,SPECTRA,X,1.38,1.38,1.38,1.38,2616,0.04,3,
519285,TARAI,XT,5.55,5.64,5.55,5.64,656,0.04,6,
519191,RGRL,X,12.60,12.60,12.60,12.60,329,0.04,1,
517548,STARLITE,XT,3.30,3.30,3.30,3.30,1150,0.04,5,
519566,SIMRAN,X,28.60,28.60,28.60,28.60,139,0.04,4,
500429,UNIPHOS,B,56.15,56.15,56.10,56.10,75,0.04,7,
501314,PRISMX,X,6.85,6.85,6.72,6.72,530,0.04,8,
500029,AUTOLITIND,B,18.50,18.50,17.05,18.10,205,0.04,12,
511108,SHIVTEX,B,79.70,79.70,79.70,79.70,50,0.04,2,
507486,CAPRO,XT,19.60,19.60,19.60,19.60,200,0.04,4,
507525,AMRITCORP,X,600.10,600.20,600.10,600.20,7,0.04,2,
507300,RAVALSUGAR,XT,1847.85,1847.85,1847.85,1847.85,2,0.04,1,
504646,BGWTATO,X,83.25,83.25,83.25,83.25,50,0.04,1,
532097,MUKANDENGG,B,7.94,7.94,7.32,7.88,517,0.04,14,
532160,GUJSTATFIN,T,1.67,1.73,1.67,1.73,2282,0.04,9,
532375,TIPSINDLTD,B,107.25,107.25,103.15,103.15,37,0.04,15,
531454,POLYLINK,X,9.10,9.10,8.40,8.99,450,0.04,17,
531278,ELIXIR,X,29.40,31.40,28.50,28.50,129,0.04,4,
530595,TELECANOR,X,7.95,7.95,7.95,7.95,558,0.04,2,
530609,CARNATIN,X,4.11,4.11,4.10,4.10,1000,0.04,2,
539044,MANAKSTELTD,B,9.10,9.10,9.10,9.10,397,0.04,6,
539176,HAWAENG,XT,17.30,19.05,17.25,19.05,204,0.04,6,
539149,ICSL,X,1.43,1.43,1.43,1.43,2451,0.04,3,
539219,MUL,X,15.90,15.90,15.90,15.90,251,0.04,11,
538564,JAMESWARREN,X,69.10,72.00,68.05,68.05,60,0.04,3,
533163,ARSSINFRA,B,12.45,12.45,11.87,12.14,363,0.04,10,
533108,BTTL,X,4.50,4.50,4.34,4.49,861,0.04,7,
532988,RANEENGINE,B,178.00,185.90,178.00,185.90,25,0.04,2,
533090,EXCEL,B,1.03,1.03,1.01,1.01,2651,0.03,8,
533411,SANGHVIFOR,B,13.87,14.70,13.87,14.70,202,0.03,11,
537536,DENISCHEM,X,34.00,35.80,34.00,35.40,100,0.03,3,
534691,COMCL,B,1.80,1.91,1.80,1.85,1584,0.03,13,
534598,SEPOWER,T,2.59,2.70,2.59,2.70,1171,0.03,8,
533602,LESHAIND,X,1.33,1.33,1.27,1.27,2178,0.03,8,
530677,SUPREME,X,11.20,11.78,10.66,11.67,272,0.03,9,
530313,KIMIABL,X,23.60,23.60,22.50,22.50,147,0.03,7,
526965,GUJCRAFT,XT,19.00,19.80,18.10,18.20,155,0.03,3,
526871,INTECCAP,X,15.25,16.00,15.10,16.00,199,0.03,6,
530127,NPRFIN,X,7.25,7.25,7.25,7.25,400,0.03,2,
531297,ARTEFACT,X,28.00,28.00,27.25,27.25,104,0.03,3,
531223,ANJANI,X,11.78,11.80,11.78,11.80,220,0.03,4,
530829,CILSEC,X,9.05,9.48,9.03,9.48,383,0.03,6,
530789,CEEJAY,X,64.15,64.15,61.15,61.15,50,0.03,2,
531680,MAYUR,XT,3.23,3.23,3.20,3.20,1020,0.03,2,
531737,GREENCREST,X,0.50,0.50,0.50,0.50,5625,0.03,10,
532123,BSELINFRA,B,0.86,0.90,0.86,0.90,3407,0.03,6,
532216,HBSTOCK,B,5.99,5.99,5.99,5.99,471,0.03,4,
532007,SHVFL,XT,7.58,7.58,7.58,7.58,350,0.03,1,
531888,REXNORD,X,19.80,19.80,18.75,19.65,151,0.03,9,
531861,JOINDRE,X,15.00,15.00,13.70,14.38,204,0.03,20,
532455,SHALIWIR,XT,4.70,4.70,4.50,4.60,630,0.03,4,
532521,PALRED,B,11.13,11.70,11.13,11.60,235,0.03,15,
506186,GCKL,X,13.17,13.17,12.52,12.53,258,0.03,7,
506105,STANROS,X,83.00,83.00,75.80,75.80,44,0.03,3,
504988,ZWELCAST,X,345.00,345.00,345.00,345.00,10,0.03,1,
507580,IVP,B,34.10,34.10,34.10,34.10,100,0.03,2,
507813,NOL,X,26.55,26.55,26.55,26.55,106,0.03,3,
506734,MYSORPETRO,X,40.05,41.00,40.00,40.75,66,0.03,6,
509709,INTLCONV,B,21.00,22.10,21.00,21.75,125,0.03,19,
500220,JASCH,X,22.00,22.00,21.10,21.80,127,0.03,4,
513063,TRANSFRE,XT,4.40,4.40,4.40,4.40,600,0.03,3,
521200,SURYALAXMI,T,16.20,16.20,16.20,16.20,200,0.03,3,
526409,KKALPANAIND,X,15.49,15.49,13.67,14.64,202,0.03,9,
542682,HARISH,X,21.00,22.95,21.00,21.00,130,0.03,6,
540961,SHIVAMILLS,B,23.00,26.90,23.00,23.50,107,0.03,7,
540254,MTPL,X,16.00,16.00,15.45,15.45,202,0.03,3,
